74,coordinates,size_x,size_y,damage,can_climb
0,440,7080,5,2000000001,1
20,0,18,200,0,0
38,125,757,8,0,1
785,133,10,23,0,1
785,156,7,18,0,1
790,208,64,5,2000000001,1
818,97,6,22,0,1
820,119,4,6,0,1
823,126,5,17,0,1
825,97,190,4,0,1
1012,101,3,98,0,1
1111,97,31,4,0,1
1111,102,3,50,0,1
1139,102,3,50,0,1
1239,97,68,5,0,1
1239,102,3,50,0,1
1267,102,3,50,0,1
1270,208,100,6,2000000001,1
1395,208,994,5,2000000001,1
1331,112,67,24,0,1
1392,136,6,63,0,1
1476,124,20,33,0,1
1496,112,102,12,0,1
1598,125,22,5,0,1
1621,112,31,13,0,1
1647,126,5,72,0,1
1681,140,23,19,0,1
1730,124,18,35,0,1
1749,112,49,15,0,1
1799,127,16,32,0,1
1843,112,131,46,0,1
1974,142,30,16,0,1
2005,112,8,46,0,1
2013,112,316,10,0,1
2371,112,181,33,0,1
2540,145,8,238,0,1
2559,337,202,14,0,1
2647,304,14,33,0,1
2662,290,74,47,0,1
2736,306,10,31,0,1
2772,112,8,271,0,1
2780,112,108,17,0,1
2782,158,8,63,0,1
2797,200,6,255,0,1
2803,150,71,8,0,1
2882,129,6,10,0,1
2804,385,31,14,0,1
2868,385,31,14,0,1
2900,192,33,193,0,1
2933,141,479,48,0,1
3181,189,6,194,0,1
3198,336,203,14,0,1
3285,304,18,32,0,1
3303,289,71,47,0,1
3374,302,12,34,0,1
3407,141,293,34,0,1
3412,175,8,209,0,1
3764,128,18,30,0,1
3783,112,204,46,0,1
3695,208,4000,5,2000000001,1
4052,112,195,46,0,1
4308,77,32,122,0,1
4340,77,32,50,0,1
4403,77,64,50,0,1
4498,77,226,49,0,1
4821,112,31,87,0,1
4852,120,45,35,0,1
4897,129,46,26,0,1
4943,135,36,20,0,1
4979,141,306,35,0,1
5330,112,33,31,0,1
5363,112,257,31,0,1
5699,141,450,50,0,1
6215,191,855,50,0,1
